ID,Smiles,Standard Value
86,O=C1NC(=O)N(Cc2ccccc2)C(=O)/C1=C/NCCCn1ccnc1,15848.9
87,Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21,15848.9
88,COc1ccc(-c2nc3cnc(Nc4ccccc4)nc3n(CCC#N)c2=O)cc1,15848.9
89,COc1cccc(OC)c1-c1nn2c(-c3cc(-c4ccccc4)[nH]n3)nnc2s1,15848.9
90,O=S(=O)(Nc1nc2ccccc2nc1Nc1ccc2c(c1)OCCO2)c1cccs1,15848.9
91,O=C(O)c1ccccc1-c1ccc(/C=c2\sc3nc4cc(Br)cnc4n3c2=O)o1,15848.9
92,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12.O.O,15848.9
93,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)[O-])c3cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)[O-])c5cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c45)ccc3C)c2)c1.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],15848.9
94,Nc1ccc(O)c(C(=O)O)c1,15848.9
95,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,15848.9
96,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.Cl,15848.9
97,CC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21.[Br-],19952.6
98,COc1ccc(-c2nc3cnc(N4CCN(C)CC4)nc3n(Cc3cccs3)c2=O)cc1,19952.6
99,COc1cc(-c2ccc(/N=N\c3ccc4c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c4c3O)c(OC)c2)ccc1/N=N\c1ccc2c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c2c1O,19952.6
100,CCNc1cccc2c1C(=O)N(C)C2=O,25118.9
101,N#Cc1c(-c2ccco2)cc(-c2cccnc2)nc1N,25118.9
102,CC(=C1C2C=CC1C1C(=O)NC(=O)C21)c1ccccc1,25118.9
103,Nc1ncnc2oc(-c3ccco3)c(-c3ccco3)c12,25118.9
104,Cc1cc(C(=O)COc2cccc3cccnc23)c(C)n1C,25118.9
105,O=c1cc(O)oc2c1c(=O)n(-c1ccccc1)c1ccccc21,25118.9
106,Cc1ccc(C2C(C#N)=C(N)Oc3c2sc2ccccc32)o1,25118.9
107,CN1C(=O)/C(=N\CCO)c2c3ccccc3c(O)c3cccc1c23,25118.9
108,CC(C)OC(=O)CC(=O)c1sc2nc3c(cc2c1N)CN(C)CC3,25118.9
109,CCNc1ncc2nc(-c3cc(F)cc(F)c3)c(=O)n(-c3ccccc3)c2n1,25118.9
110,CSc1ccc(C2C(C#N)=C(N)Oc3c2ccc(=O)c2c(C)oc(C)c32)cc1,25118.9
111,CN(C)c1ccc(/C=C/C(O)=C2\C(=O)N(C)C3(C)CC2c2ccccc2O3)cc1,25118.9
112,COc1cccc(Nc2ncc3nc(CCc4ccccc4)c(=O)n(C4CC4)c3n2)c1,25118.9
113,N#CC1=C(SCC(=O)c2cc3ccccc3oc2=O)NC(=O)C(C#N)C12CCCC2,25118.9
114,COc1cccc(Nc2ncc3nc(-c4ccc(Cl)cc4)c(=O)n(CCC#N)c3n2)c1,25118.9
115,Cc1nnc2sc(-c3ccc(NC(=O)c4ccc(-c5ccc(Cl)cc5Cl)o4)cc3)nn12,25118.9
116,CCn1c(CSc2nnc(-c3cccnc3)n2-c2ccccc2C)nc2cc(C(=O)O)ccc21.Cl,25118.9
117,CN(N=O)c1cc(O)ccc1O,31622.8
118,CC1=NCCc2c1[nH]c1cc(O)ccc21,31622.8
119,Cc1ccc2c(c1)C1C=CCC1C(C(=O)O)N2,31622.8
120,CCN(CC)c1ccc2oc(=O)c(C)nc2c1,31622.8
121,CN(C)c1ccc(/C=C/c2cc[n+]([O-])cc2)cc1,31622.8
122,CC1(C)CC(=O)C2=C(C1)N1CCCCC1CC2=O,31622.8
123,COc1[nH]c(/N=C/c2ccccc2)c(C#N)c1C#N,31622.8
124,O=C1C=CC(=O)c2c(O)c(Cl)c(Cl)c(O)c21,31622.8
125,COc1ccc2ccccc2c1C(O)c1nccn1C,31622.8
126,Cc1ccc(C2C(C#N)=C(N)SC(N)=C2C#N)cc1,31622.8
127,O=C1c2ccc(O)c(O)c2C(=O)c2c(O)ccc(O)c21,31622.8
128,CC1(C)c2ccccc2N2CC(=O)N(CC(N)=O)C21C,31622.8
129,CCCCN(c1ccccc1)c1cc(=O)n(C)c(=O)[nH]1,31622.8
130,Cc1cc(C(=O)Nc2sc(C)c(C)c2C#N)c(C)o1,31622.8
131,N#CC1=C(N)SC(N)=C(C#N)C1CCc1ccccc1,31622.8
132,C/C(=N\c1ccc(O)cc1)c1sc2ccccc2c1O,31622.8
133,CN(C)c1ccc(N/C=C/C(=O)c2ccc(F)cc2)cc1,31622.8
134,CC1N(C)c2cc(NC(=O)c3ccco3)ccc2C1(C)C,31622.8
135,CCOC(=O)c1ccc2c(c1)C1C=CCC1C(C(=O)O)N2,31622.8
136,N#CC1=C(N)SC(N)=C(C#N)C1CCC1CCCCC1,31622.8
137,Cc1ccc(/N=c2\oc3cc(O)ccc3cc2C(N)=O)cc1,31622.8
138,N#Cc1sc2nc3c(c(-c4ccco4)c2c1N)CCCC3,31622.8
139,CCOc1cccc(=O)c2c(C)n(Cc3ccco3)c(C)c12,31622.8
140,COc1ccc2c(c1)S/C(=C\C(=O)c1ccncc1)N2C,31622.8
141,N#CC1=C(N)C(C#N)(C#N)C(c2cccnc2)C2CCCC=C12,31622.8
142,CC/N=C1\C(=O)N(C)c2cccc3c(O)c4ccccc4c1c23,31622.8
143,N#CC1=C(N)SC(N)=C(C#N)C1c1ccnc2ccccc12,31622.8
144,N#CC1=C(N)Oc2[nH]nc(-c3cccs3)c2C1c1ccco1,31622.8
145,CCOC(=O)c1ccc(NCn2c(=O)oc3ccccc32)cc1,31622.8
146,CCCCc1ccc(C2C(C#N)=C(N)SC(N)=C2C#N)s1,31622.8
147,CCOC(=O)CCSc1nc(C)cc(C(F)(F)F)c1C#N,31622.8
148,N#CC1=C(N)OC2=C(CCC/C2=C/c2ccoc2)C1c1ccoc1,31622.8
149,CCN(CC)c1ccc2c(c1)OC(N)=C(C#N)C2c1cccnc1,31622.8
150,N#CC1=C(N)SC(N)=C(C#N)C1c1ccc(C(F)(F)F)cc1,31622.8
151,O=C(O)c1ccc(Cl)c2c1C1C=CCC1C(c1ccccn1)N2,31622.8
152,CN1CC=C2C(C#N)=C(N)C(C#N)(C#N)C(Cc3ccccc3)C2C1,31622.8
153,Cc1ccc(C2C3CSCC=C3C(C#N)=C(N)C2(C#N)C#N)cc1,31622.8
154,CCOC(=O)SC1=N/C(=C\c2ccc(N(C)C)cc2)C(=O)S1,31622.8
155,O=c1cnc2cnc(N3CCOCC3)nc2n1Cc1ccc(F)cc1,31622.8
156,CCOc1ccc(C2C(C#N)=C(N)SC(N)=C2C#N)c(OCC)c1,31622.8
157,CCOc1ccc(C2C(C#N)=C(N)SC(N)=C2C#N)cc1OCC,31622.8
158,CC(=O)c1c(O)c(C)c(O)c2c1OC1=CC(=O)C(C(C)=O)C(=O)C12C,31622.8
159,O=C(O)c1ccccc1C1=Nc2ccc(O)cc2Oc2cc(O)ccc21,31622.8
160,CN(Cc1ccco1)c1ncnc2ccc(-c3ccccc3Cl)cc12,31622.8
161,CC1=CC(=C(C#N)c2nc3ccccc3s2)C=C(C)N1Cc1ccco1,31622.8
162,COCCn1c(=O)c(-c2ccc(Cl)cc2)nc2cnc(N(C)C)nc21,31622.8
163,Cc1ccccc1N1C(=O)c2cccc3c(N(C)CCO)ccc(c23)C1=O,31622.8
164,CN(C)c1ccc(/C=C2\CCCN=C2c2cccnc2)cc1.Cl.Cl,31622.8
165,COc1ccc(-n2nnnc2SCC(=O)c2cc3ccccc3o2)cc1,31622.8
166,N#CCCn1c(=O)c(-c2cccs2)nc2cnc(N3CCNCC3)nc21,31622.8
167,CCNc1ncc2nc(CCc3ccccc3)c(=O)n(-c3ccccc3)c2n1,31622.8
168,CN(C)c1ncc2nc(CCc3ccccc3)c(=O)n(-c3ccccc3)c2n1,31622.8
169,CCN1C(=O)c2cccc3c(NC(=O)c4ccc5c(c4)OCCO5)ccc1c23,31622.8
170,Cc1ccc(Cn2nc(C)c(NC(=O)c3cc(-c4ccco4)on3)c2C)cc1,31622.8
171,CCNc1ncc2nc(-c3ccc(Cl)cc3)c(=O)n(-c3ccccc3)c2n1,31622.8
172,CCNc1ncc2nc(-c3cccs3)c(=O)n(-c3ccc(OC)cc3)c2n1,31622.8
173,COc1cc2c(C=O)c3c4c(cc(OC)c(OC)c4c2cc1OC)CCN3C,31622.8
174,CCOC(=O)c1sc(N)c(C#N)c1COC(=O)CNC(=O)c1ccccc1,31622.8
175,O=c1oc2c(CN3CCCCCC3)c(O)ccc2cc1-c1nc2ccccc2[nH]1,31622.8
176,COc1ccc(Oc2ncc3nc(C)c(=O)n(Cc4ccc(F)cc4)c3n2)cc1,31622.8
177,N#CCCn1c(=O)c(CCc2ccccc2)nc2cnc(Nc3ccccc3)nc21,31622.8
178,CCN(CC)CCC[C@H](C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,31622.8
179,COc1ccc(-c2nc(C(N)=O)c3nc(O)n(-c4cccc(C)c4)c3n2)c(OC)c1,31622.8
180,N#CCCn1c(=O)c(-c2cccs2)nc2cnc(Oc3cccc(Cl)c3)nc21,31622.8
181,CCNc1ncc2nc(-c3ccc(OC)cc3)c(=O)n(Cc3cccc(OC)c3)c2n1,31622.8
182,Cn1c(=O)[nH]c(=O)c2c1nc(Sc1nc3ccccc3[nH]1)n2CCc1ccccc1,31622.8
183,CC(=O)OCCNc1cc(N2CCN(C)CC2)c2noc3c2c1C(=O)c1ccccc1-3,31622.8
184,COc1cccc(Nc2ncc3nc(CCc4ccccc4)c(=O)n(CCC#N)c3n2)c1,31622.8
185,CCOc1cc(C2C(C#N)=C(N)SC(N)=C2C#N)ccc1OCCN1CCOCC1,31622.8
186,COc1ccc(Oc2ncc3nc(-c4cccs4)c(=O)n(-c4ccccc4)c3n2)cc1,31622.8
187,O=c1c(-c2ccc(F)cc2)nc2cnc(Nc3ccccc3)nc2n1Cc1cccs1,31622.8
188,O=C(Nc1ccc(-c2nc3ccccc3o2)c(O)c1)c1cc(-n2cnnc2)ccc1Cl,31622.8
189,COc1ccccc1C1C=C(c2ccc(Cl)cc2)Nc2nc(NS(C)(=O)=O)nn21,31622.8
190,CCN(CC)c1ccc2cc(C(=O)Nc3ccc(-n4cnnn4)c(OC)c3)c(=O)oc2c1,31622.8
191,N=c1c2c(-c3ccccc3)c(-c3ccccc3)n(Cc3ccco3)c2ncn1Cc1ccco1,31622.8
192,CN1CCc2nc(NC(=O)c3cccc(S(=O)(=O)N4CCc5ccccc54)c3)sc2C1,31622.8
193,Fc1ccc(Br)cc1C1C=C(c2ccc(Br)s2)Nc2ncnn21,31622.8
194,CCOC(=O)C1CCN(C(=O)Nc2ccc3nc(-c4ccco4)c(-c4ccco4)nc3c2)CC1,31622.8
195,COc1cccc(Cn2c(=O)c(-c3cccs3)nc3cnc(Nc4cccc(OC)c4)nc32)c1,31622.8
196,O=C(Nc1nc(-c2ccco2)c(-c2ccco2)s1)C1CC(=O)N(c2ccc3c(c2)OCCO3)C1,31622.8
197,C=CCn1c(=O)/c(=C/c2cc(OC)c(OC)c(OC)c2)s/c1=C(/C#N)c1nc2ccccc2n1C,31622.8
198,O=C(Cn1ncc2c3ccccc3n(Cc3cccc(Cl)c3)c2c1=O)N1CCC2(CC1)OCCO2,31622.8
199,O=C1Nc2ccc(I)cc2/C1=C/c1cc(Br)c(O)c(Br)c1,31622.8
200,C=CC1=C(C)C2=N/C1=C\C1=[N+]3[Zn-2][N+]4=C(/C=C5\N=C(/C=C\3C(CCC(=O)O)=C1C)C(CCC(=O)O)=C5C)C(C)=C(C=C)/C4=C/2,31622.8
201,COC(=O)[C@@]1(Cc2ccc(OC)cc2)[C@H]2c3cc(C(=O)N(C)C)n(Cc4nc5ccccc5[nH]4)c3C[C@H]2CN1C(=O)c1ccccc1,31622.8
202,Cc1c(S(=O)(=O)[O-])oc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C.[Na+],31622.8
203,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1,31622.8
204,CC(=O)c1cc2cc(O)ccc2o1,39810.7
205,COc1cccc(Oc2ccc(N)cn2)c1,39810.7
206,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=S,39810.7
207,COc1ccc2[nH]cc(C3=CCNCC3)c2c1,39810.7
208,CCn1cc(SCC(N)=O)c2ccccc21,39810.7
209,O=C1CC(/C=C/c2ccco2)=Nc2ccccc2N1,39810.7
210,Cc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,39810.7
211,O=C1c2ccccc2C(=O)c2c(O)c(O)cc(O)c21,39810.7
212,COc1ccc(/C=C/C(=O)c2cccs2)c(OC)c1,39810.7
213,c1ccc(-c2csc(-c3nc4ccccc4[nH]3)n2)cc1,39810.7
214,Cc1ccc(C2C(C#N)=C(N)SC(N)=C2C#N)c(C)c1,39810.7
215,CCc1ccc(C2C(C#N)=C(N)SC(N)=C2C#N)cc1,39810.7
216,CCNc1nc(N)c(C(=O)c2ccc(Cl)s2)s1,39810.7
217,Cn1c(-c2nc(-c3ccccc3)cs2)nc2ccccc21,39810.7
218,CCOc1ccccc1C1C(C#N)=C(N)SC(N)=C1C#N,39810.7
219,CC/C(NC1CC1)=C1/C(=O)NC(=O)N(C2CCCCC2)C1=O,39810.7
220,COc1ccc(N2CCN(c3[nH]cnc4ncnc3-4)CC2)cc1,39810.7
221,CCN(CC)c1ccc2c(c1)oc(=O)c1c(Cl)cc(=O)oc12,39810.7
222,CCNc1ncc2nc(-c3ccc(F)cc3)c(=O)n(CCC#N)c2n1,39810.7
223,O=C(OC1CCCCC1)c1ccc2c(c1)C1C=CCC1C(C(=O)O)N2,39810.7
224,N#CC1=C(N)OC(c2ccccc2)=C(C#N)C1c1ccc2c(c1)OCO2,39810.7
225,CC(=O)c1c(O)c(C)c(O)c2c1OC1=CC(=O)C(C(C)=O)C(=O)[C@@]12C,39810.7
226,CCOC(=O)CNC(=O)c1cc(-c2ccc3c(c2)OCCO3)oc1C,39810.7
227,CCN(C(C)=O)c1nnc(CSc2nc3ccccc3s2)s1,39810.7
228,CC(C)(C)NC(=O)CSc1nc(O)cc(=O)n1-c1ccccc1F,39810.7
