Smiles,Standard Value,logIC50
COc1ccccc1C(=O)Nc1nnc(-c2ccc(Oc3ccc([N+](=O)[O-])cc3)cc2)s1,5.88,8.230622674
NS(=O)(=O)c1cc(-c2ccc(CSCc3ccc(C(F)(F)P(=O)(O)O)c(Br)c3)cc2)ccc1Br,6,8.22184875
O=C(Nc1nnc(-c2ccc(Oc3ccc([N+](=O)[O-])cc3)cc2)s1)c1ccccc1Cl,6.24,8.20481541
COC(=O)c1c(O)cccc1OCCCNC(=O)c1cn(Cc2ccc(F)cc2)c2ccc([N+](=O)[O-])cc2c1=O,6.5,8.187086643
C=C1CCC[C@@H](C)[C@@]1(C)CCc1ccoc1,6.8,8.167491087
O=C(O)c1cccc(/C=C/c2ccc3cc(Br)c(C(F)(F)P(=O)(O)O)cc3n2)c1,7,8.15490196
COC(CC(C)C)c1ccc2cc(-c3ccc(CC(Cc4ccc(C(F)(F)P(=O)(O)O)cc4)(c4ccccc4)n4nnc5ccccc54)cc3)cc(P(=O)(O)O)c2n1,7,8.15490196
CO[C@@H](CC(C)C)c1ccc2cc(-c3ccc(C[C@](Cc4ccc(C(F)(F)P(=O)(O)O)cc4)(c4ccccc4)n4nnc5ccccc54)cc3)cc(P(=O)(O)O)c2n1,7,8.15490196
O=C(Nc1nnc(-c2ccc(Oc3ccc([N+](=O)[O-])cc3)cc2)s1)c1ccccc1F,7.47,8.126679398
O=C(O)c1cn(C2CC2)c2ccc(Cc3ccccc3)cc2c1=O,7.5,8.124938737
O=C(Nc1nnc(-c2ccc(Oc3ccc([N+](=O)[O-])cc3[N+](=O)[O-])cc2)s1)c1ccc([N+](=O)[O-])cc1,8.04,8.094743951
COC(=O)c1cc(Cn2cc(C(=O)O)c(=O)c3cc(I)ccc32)ccc1O,8.1,8.091514981
C=C[C@@H](O)C#CC#C[C@@H](O)/C=C\CCCCCCC,8.22,8.085128182
Cc1ccc(C(=O)Nc2nnc(-c3ccc(Oc4ccc([N+](=O)[O-])cc4)cc3)s2)cc1,8.26,8.083019953
O=C(Nc1nnc(-c2ccc(Oc3ccc([N+](=O)[O-])cc3)cc2)s1)c1ccc(F)cc1,8.75,8.057991947
C[C@@H]1[C@@H]2C=C[C@@](C)(OO2)[C@@]1(C)CCC1=CC(O)OC1=O,8.8,8.055517328
O=C(O)COc1ccc(S(=O)(=O)N(Cc2ccc(-c3csnn3)cc2)Cc2ccc3cc(F)c(C(F)(F)P(=O)(O)O)cc3c2)cc1,9,8.045757491
O=C(O)c1cn(C2CC2)c2ccc(N3CCN(Cc4ccccc4)CC3)cc2c1=O,9.2,8.036212173
COC(=O)c1c(O)cccc1OCCCNC(=O)c1cn(Cc2ccccc2)c2cc(F)ccc2c1=O,9.4,8.026872146
CC(C)C(=O)O[C@H]1Cc2c(ccc3ccc(=O)oc23)OC1(C)C,9.59,8.018181393
O=C1CC(c2ccc(C[C@H](NS(=O)(=O)c3cccc(C(F)(F)F)c3)c3nc4cc(Cl)ccc4[nH]3)cc2F)S(=O)(=O)[N-]1.[Na+],10,8
CC1(C)Oc2ccc3ccc(=O)oc3c2[C@@H](O)[C@H]1O,10.42,7.982132281
O=C(O)COc1ccc(S(=O)(=O)N(Cc2ccc(-c3csnn3)cc2)Cc2ccc3cc(F)c(C(F)(F)P(=O)(O)O)cc3n2)cc1,11,7.958607315
O=C(O)[C@@H](CCN1C(=O)c2ccccc2C1=O)Oc1c(Br)cc(-c2c3ccccc3c(Br)c3sc4ccccc4c23)cc1Br,11,7.958607315
COC(=O)c1ccc(C(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)n2nnc3ccccc32)cc1,11,7.958607315
O=C(OCc1ccccc1)c1cn(C2CC2)c2ccc(I)cc2c1=O,11.4,7.943095149
C/C=C(/C)C(=O)O[C@@H]1Cc2c(ccc3ccc(=O)oc23)OC1(C)C,11.55,7.937418016
C=C1C=CC[C@@H](C)[C@@]1(C)CCC1=CC(O)OC1=O,11.6,7.935542011
O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2ccc(F)c(F)c2)n2nnc3ccccc32)cc1,12,7.920818754
Cc1ccc2cc(-c3ccc(CC(Cc4ccc(C(F)(F)P(=O)(O)O)cc4)(c4ccccc4)n4nnc5ccccc54)cc3)cc(P(=O)(O)O)c2n1,12,7.920818754
O=C(O)c1cn(C2CC2)c2ccc(Cc3ccc(F)cc3)cc2c1=O,12.3,7.910094889
CS(=O)(=O)OC1C(Cl)CCCC1Cc1ccc(N2CC(=O)CS2(=O)=O)c(O)c1,12.6,7.899629455
O=C(NCc1ccccc1)c1cn(Cc2ccccc2)c2ccc(I)cc2c1=O,13.9,7.8569852
O=C1CN(c2c(O)cc(CC3CCCCC3)cc2F)S(=O)(=O)C1,14,7.853871964
O=C(OCc1ccc(F)cc1)c1cn(C2CC2)c2ccc(Cc3ccc(F)cc3)cc2c1=O,14,7.853871964
O=C1C[C@@H](c2ccc(C[C@H](NS(=O)(=O)c3cccc(F)c3)c3nc4ccccc4[nH]3)cc2F)S(=O)(=O)[N-]1.[Na+],15,7.823908741
O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2ccccc2)n2nnc3ccccc32)cc1,16,7.795880017
O=P(O)(O)C(F)(F)c1ccc(/C=C/CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2ccccc2)n2nnc3ccccc32)cc1,16,7.795880017
CCC(CC)c1ccc(N(Cc2cccc(-c3ccc(COc4ccc(C[C@H](NC(C)=O)C(=O)O)cc4)cc3)c2)C(C)C)cc1,16,7.795880017
Cc1cc(C[C@H](NS(=O)(=O)c2ccc(Br)c(C(F)(F)F)c2)c2nc3ccccc3[nH]2)ccc1[C@@H]1CC(=O)[N-]S1(=O)=O.[Na+],16,7.795880017
CC(Cc1ccc(C(F)(F)P(=O)(O)O)cc1)(c1ccccc1)n1nnc2ccccc21,16,7.795880017
O=C(O)COc1ccc(S(=O)(=O)N(Cc2ccc(-c3csnn3)cc2)Cc2ccc3cc(Br)c(C(F)(F)P(=O)(O)O)cc3c2)cc1,17,7.769551079
C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O,17.49,7.757210191
O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2nc3ccccc3s2)n2nnc3ccccc32)cc1,18,7.744727495
O=C1CC(c2ccc(C[C@H](NS(=O)(=O)c3ccccc3)c3nc4ccccc4[nH]3)cc2F)S(=O)(=O)[N-]1.[Na+],18,7.744727495
O=C(O)COc1ccc(S(=O)(=O)N(Cc2ccc(-c3csnn3)cc2)Cc2ccc3cc(Br)c(C(F)(F)P(=O)(O)O)cc3n2)cc1,18,7.744727495
CCc1cc(C[C@H](NC(C)=O)C(=O)NCCCCOc2cccc(O)c2C(=O)OC)ccc1N(C(=O)C(=O)O)c1ccccc1C(=O)O,18,7.744727495
Cc1cc(C[C@H](NS(=O)(=O)c2ccccc2C#N)c2nc3ccccc3[nH]2)ccc1[C@@H]1CC(=O)[N-]S1(=O)=O.[Na+],18,7.744727495
CCOc1cc(NS(C)(=O)=O)c(OCC)cc1CNC(=O)Nc1ccc(OCC)c(C(=O)OC)c1,18.6,7.730487056
O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2nc(-c3ccccc3)cs2)n2nnc3ccccc32)cc1,19,7.721246399
O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2ccc3ccccc3n2)n2nnc3ccccc32)cc1,20,7.698970004
CN(CCCCCl)P(=O)(OCc1cc([N+](=O)[O-])co1)C(F)(F)c1ccc(CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc2ccc(C(F)(F)P(=O)(OCc3ccc([N+](=O)[O-])o3)N(C)CCCCCl)cc2)C(N)=O)cc1,20,7.698970004
Cc1cc(CC(NS(=O)(=O)c2cccc(F)c2)C2=NC[C@@H](CCCCOc3cccc(O)c3C(=O)O)N2)ccc1C1CC(=O)NS1(=O)=O,22,7.657577319
CC(=O)N[C@H](Cc1ccc(N(C(=O)C(=O)O)c2ccccc2C(=O)O)c2ccccc12)C(=O)NCCCCCOc1cc2ccccc2cc1C(=O)O,22,7.657577319
CCCCCCC(Oc1c(Br)cc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)cc1Br)C(=O)O,23,7.638272164
Cc1cc(CC(NS(=O)(=O)c2cccc(F)c2)C2=NC[C@@H](CCOc3cccc(S(C)(=O)=O)c3)N2)ccc1C1CC(=O)NS1(=O)=O,23,7.638272164
Cc1cc(CC(NS(=O)(=O)c2cccc(F)c2)C2=N[C@H](CCOc3ccccc3S(C)(=O)=O)CN2)ccc1C1CC(=O)NS1(=O)=O,23,7.638272164
O=C(O)c1ccc(S(=O)(=O)Oc2ccc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)cc2Br)cc1O,24,7.619788758
O=C(O)[C@@H](Cc1ccccc1)Oc1c(Br)cc(-c2ccc(-c3c(Cc4ccccc4)sc4ccccc34)cc2)cc1Br,25,7.602059991
COc1cccc(-c2cc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)cc(-c3cccc(OC)c3)c2OCC(=O)O)c1,25,7.602059991
COc1ccc(-c2cc(-c3ccc(-c4c(Cc5ccccc5)sc5ccccc45)cc3)cc(-c3ccc(OC)cc3)c2OCC(=O)O)cc1,25,7.602059991
